Temperature,Power (1000m),Power (1250m),Power (1500m),Power 1750m),Power (2000m),Consumption
-30,4500,4500,4500,4500,4500,0
-29,4500,4500,4500,4500,4500,0
-28,4500,4500,4500,4500,4500,0
-27,4500,4500,4500,4500,4500,
-26,4500,4500,4500,4500,4500,
-25,4500,4500,4500,4500,4500,
-24,4500,4500,4500,4500,4500,
-23,4500,4500,4500,4500,4500,
-22,4500,4500,4500,4500,4500,
-21,4500,4500,4500,4500,4500,
-20,4500,4500,4500,4500,4500,
-19,4500,4500,4500,4500,4500,
-18,4500,4500,4500,4500,4500,
-17,4500,4500,4500,4500,4500,
-16,4500,4500,4500,4500,4500,
-15,4500,4500,4500,4500,4500,
-14,4500,4500,4500,4500,4500,
-13,4500,4500,4500,4500,4500,
-12,4500,4500,4500,4500,4500,
-11,4500,4500,4500,4500,4500,
-10,4500,4500,4500,4500,4500,
-9,4500,4500,4500,4500,4500,
-8,4500,4500,4500,4500,4500,
-7,4500,4500,4500,4500,4500,
-6,4500,4500,4500,4500,4500,
-5,4500,4500,4500,4500,4500,
-4,4500,4500,4500,4500,4500,
-3,4500,4500,4500,4500,4500,
-2,4500,4500,4500,4500,4500,
-1,4500,4500,4500,4500,4500,
0,4500,4500,4500,4500,4500,
1,4500,4500,4500,4500,4500,
2,4500,4500,4500,4500,4500,
3,4500,4500,4500,4500,4500,
4,4500,4500,4500,4500,4500,
5,4500,4500,4500,4500,4500,
6,4500,4500,4500,4500,4500,
7,4500,4500,4500,4500,4500,
8,4500,4500,4500,4500,4500,
9,4500,4500,4500,4500,4500,
10,4500,4500,4500,4500,4500,
11,4500,4500,4500,4500,4500,
12,4500,4500,4500,4500,4500,
13,4500,4500,4500,4500,4500,
14,4500,4500,4500,4500,4500,
15,4500,4500,4500,4500,4500,
16,4500,4500,4500,4500,4500,
17,4500,4500,4500,4500,4500,
18,4500,4500,4500,4500,4500,
19,4500,4500,4500,4500,4500,
20,4500,4500,4500,4500,4431.272727,
21,4500,4500,4500,4500,4362.545455,
22,4500,4500,4500,4422.333333,4293.818182,
23,4500,4500,4500,4344.666667,4225.090909,
24,4500,4500,4408.285714,4267,4156.363636,
25,4500,4500,4316.571429,4189.333333,4087.636364,
26,4500,4402.4,4224.857143,4111.666667,4018.909091,
27,4500,4304.8,4133.142857,4034,3950.181818,
28,4388.666667,4207.2,4041.428571,3956.333333,3881.454545,
29,4277.333333,4109.6,3949.714286,3878.666667,3812.727273,
30,4166,4012,3858,3801,3744,
31,4054.4,3910.4,3766.4,3720.8,3675.2,
32,3942.8,3808.8,3674.8,3640.6,3606.4,
33,3831.2,3707.2,3583.2,3560.4,3537.6,
34,3719.6,3605.6,3491.6,3480.2,3468.8,
35,3608,3504,3400,3400,3400,
36,3391.2,3306.2,3217.2,3212.4,3221.8,
37,3174.4,3108.4,3034.4,3024.8,3043.6,
38,2957.6,2910.6,2851.6,2837.2,2865.4,
39,2740.8,2712.8,2668.8,2649.6,2687.2,
40,2524,2515,2486,2462,2509,
41,2159.2,2152,2128.8,2109.6,2147.2,
42,1794.4,1789,1771.6,1757.2,1785.4,
43,1429.6,1426,1414.4,1404.8,1423.6,
44,1064.8,1063,1057.2,1052.4,1061.8,
45,700,700,700,700,700,
46,700,700,700,700,700,
47,700,700,700,700,700,
48,700,700,700,700,700,
49,700,700,700,700,700,
50,700,700,700,700,700,
